"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Bin.7.50",0.1204,0.26204,0.28531,0.27866,0.31413,0.4342,0.44111,0.44076
"Bin.2.90",0.11503,0.11245,0.11094,0.10834,0.11449,0.13142,0.13954,0.14885
"Bin.1.10",0.11071,0.30897,0.40183,0.40617,0.40451,0.40066,0.39913,0.39895
"Bin.9.94",0.086012,0.098131,0.18901,0.95215,0.96705,1.0647,1.1206,1.119
"Bin.6.90",0.079052,0.29423,0.29397,0.28543,0.31488,0.35478,0.36623,0.36524
"Bin.1.22",0.077359,0.14902,0.24019,0.27295,0.26957,0.26746,0.27314,0.27525
"Bin.7.98",0.066666,0.070672,0.20078,0.20578,0.20354,0.21433,0.2213,0.24085
"Bin.7.10",0.062043,0.12976,0.12476,0.1387,0.14018,0.13931,0.15206,0.15178
"Bin.3.26",0.06027,0.059548,0.16295,0.32273,0.39354,0.44172,0.44813,0.45889
"Bin.2.94",0.058089,0.063775,0.17266,0.17461,0.17499,0.18211,0.22012,0.22382
"Bin.8.02",0.05338,0.3186,0.33772,0.43928,0.43703,0.43854,0.43949,0.43885
"Bin.8.86",0.052176,0.36404,0.34832,0.34306,0.35621,0.35551,0.38275,0.38873
"Bin.9.46",0.050122,0.7919,0.74539,0.72371,0.72444,0.71871,0.71959,0.72123
"Bin.6.98",0.045963,0.28241,0.27477,0.28,0.32031,0.37262,0.38167,0.38083
"Bin.8.18",0.028912,0.23847,0.26035,0.29044,0.287,0.32748,0.33299,0.3321
