"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.9.18",-0.1394,-0.081848,-0.072443,-0.17854,0.0071229,0.062187,0.065268,-0.20924,-0.034599,-0.033503,0.14679,-0.18065,-0.0019268,0.09715,-0.030594,0.36515,0.012845,0.16864,-0.10643,-0.17613,-0.013105,-0.01973,0.026687,-0.18567,-0.17708,-0.048386,-0.063428,-0.22914,-0.086693,-0.10422,-0.052614,0.076192,-0.046251,0.093592,-0.038784,-0.058695,0.016958,-0.23068,0.029031,0.056267,0.11021,0.036221,0.0065164,-0.013788,-0.06127,-0.07091,-0.096312,-0.048618,-0.071264,0.012043
"Bin.9.14",-0.052304,-0.030299,0.05354,-0.012954,0.035346,-0.020179,-0.068588,0.052178,0.11825,0.12983,-0.017551,0.025419,-0.23164,-0.077908,-0.12608,0.065362,0.070386,0.032778,-0.03244,-0.043278,0.0088297,-0.084806,-0.0068053,0.016987,0.10017,-0.093124,-0.0011991,0.13074,0.031152,-0.098359,-0.036375,0.041586,-0.04669,0.14995,-0.019652,0.049734,-0.029849,-0.074675,0.027796,-0.055001,-0.070956,0.01108,-0.045541,-0.026112,-0.088215,0.0039575,0.041787,0.011258,-0.049404,0.062397
"Bin.9.10",-0.14807,0.014749,0.091167,-0.0020498,0.075236,0.0072976,-0.0023902,0.0041059,0.022385,0.028799,-0.013519,0.024409,-0.03473,0.02758,0.018332,0.039632,0.059648,0.076211,0.012004,-0.0062502,-0.026816,0.063286,0.019062,-0.067997,0.032253,0.09652,0.050953,0.12662,0.0039978,-0.021367,0.03201,0.016103,-0.041539,-0.0084523,0.036136,0.031488,0.087971,-0.061901,0.0078675,0.076481,0.051963,-0.070671,0.014172,0.038809,-0.034156,-0.007978,0.16203,0.057361,0.13106,-0.030223
"Bin.9.06",-0.14085,0.02043,0.10259,-0.046597,0.082769,0.025571,-0.024526,-0.037412,0.085744,-0.0063837,-0.03672,-0.0013377,-0.033544,0.016686,0.010369,0.017276,0.023989,0.039718,-0.023502,-0.14321,-0.044614,0.013235,0.091614,-0.14571,-0.067453,0.10523,0.21553,0.036016,-0.029057,-0.099393,0.079046,-0.048201,-0.031587,-0.01828,-0.054136,-0.11114,-0.06272,0.048423,-0.00033792,-0.06801,-0.22253,-0.041637,-0.035637,0.06894,0.12678,0.027661,-0.010694,-0.0074869,0.018363,-0.14967
"Bin.9.02",-0.14277,0.034979,0.056606,-0.037227,0.076392,0.0083951,-0.016765,0.030951,0.019624,0.018546,-0.034514,0.071775,0.012485,-0.015454,-0.018441,-0.068215,0.040349,0.097935,0.019786,0.049713,0.12676,-0.043542,0.04741,-0.053484,0.00019213,0.052921,0.012727,0.098406,0.033256,0.068901,0.14458,0.095517,0.099786,0.062825,-0.032684,0.053713,-0.027231,-0.084851,0.0066066,0.064729,0.10471,-8.0255e-05,0.070736,-0.0045199,-0.059186,0.055577,0.14517,-0.017412,0.081783,-0.03133
"Bin.8.98",-0.045108,0.02715,-0.013151,-0.03354,0.00021066,-0.054062,0.055162,0.030018,0.12125,-0.0075835,-0.017175,-0.042976,0.071775,0.024389,0.041301,-0.078149,-0.050578,-0.0030536,0.004065,-0.02752,-0.0034373,0.049418,0.093068,-0.03521,-0.10485,0.018696,0.16194,-0.0071683,-0.013003,0.078005,0.12859,-0.12548,-0.021845,0.1213,0.040428,-0.010626,0.044993,-0.088395,-0.022491,-0.096744,0.024721,-0.036051,-0.036196,0.11933,0.040301,-0.064483,0.12375,0.012668,-0.08388,0.027702
"Bin.8.94",-0.14539,0.045087,0.039305,-0.065559,0.058708,0.025913,0.034281,0.0025752,-0.0013371,-0.0044372,-0.049498,0.014652,0.038367,0.029073,-0.0085934,-0.0047959,-0.029576,0.030258,0.0061623,0.10085,0.055818,0.0076935,0.1091,-0.058188,0.017062,-0.0475,0.010812,0.028493,-0.022733,0.073934,0.099772,-0.13076,0.0025945,0.080568,0.14012,0.074143,0.064553,-0.05247,-0.035484,0.13308,0.045344,-0.054662,-0.071917,0.0081881,0.14377,-0.0236,-0.069817,-0.046903,0.1087,0.0032871
"Bin.8.90",-0.066334,0.029809,0.0068382,-0.025536,0.035306,-0.044465,0.039295,0.024939,0.099939,-0.028251,-0.02975,-0.036061,0.068729,0.032181,0.047583,-0.060168,-0.046122,0.015675,0.027323,0.020134,-0.021624,0.025436,0.10292,-0.005119,-0.088701,0.023885,0.12184,0.0014828,0.011774,0.1044,0.075874,-0.073574,0.0052918,0.0734,0.038535,0.0093197,-0.0076856,-0.1155,-0.0089001,-0.15974,-0.053849,-0.0016549,-0.018109,0.0099323,0.050932,0.026186,0.035631,0.099633,0.10855,0.10899
"Bin.8.86",-0.05419,0.0024205,0.031654,-0.029176,0.038991,-0.030049,-0.060673,0.040996,0.13258,0.14335,-0.031187,0.043219,-0.20356,-0.07058,-0.11373,0.067521,0.028546,0.010009,-0.050448,-0.030974,0.025786,-0.070705,-0.0082944,0.033547,0.085782,-0.059194,0.023288,0.13589,0.00027677,-0.084697,-0.042339,0.031473,-0.015423,0.12014,0.022796,0.055453,-0.037037,-0.030534,-0.032422,-0.083021,-0.10138,0.074289,-0.025243,0.070656,-0.02708,-0.061444,0.0022065,-0.044379,-0.048123,0.02011
"Bin.8.82",-0.057482,-0.011388,0.049209,-0.0097293,0.048363,-0.038136,-0.0679,0.050503,0.090418,0.13333,-0.015912,0.017898,-0.21548,-0.03165,-0.11133,0.078869,0.077302,0.041188,-0.038982,0.0027618,-0.014507,-0.028991,-0.023393,0.010702,0.079059,-0.04344,-0.0013517,0.13729,0.035828,-0.091011,-0.058454,0.043058,-0.014953,0.092011,0.024371,0.066113,0.030126,-0.076359,-0.074604,-0.037137,-0.0049416,0.039058,-0.056999,0.077025,-0.085703,-0.039842,0.033946,-0.030137,-0.015326,-0.12083
