"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Bin.6.70",0.07499,-0.20942,0.061534,0.1041,-0.059449,0.068134,-0.13151,0.060025
"Bin.6.66",0.046303,-0.21833,0.083594,0.084604,-0.067589,0.058937,-0.13251,0.046117
"Bin.6.62",-0.0092806,-0.20555,0.21022,0.025614,-0.12691,0.13022,-0.051568,-0.044134
"Bin.6.58",-0.017105,-0.20296,0.21739,0.028371,-0.12996,0.1527,-0.051534,-0.052636
"Bin.6.54",-0.023098,-0.19424,0.25265,0.024406,-0.13743,0.097309,-0.012991,-0.053099
"Bin.6.50",-0.13804,0.0044115,0.29273,-0.05799,-0.12116,-0.094424,0.19117,-0.16881
"Bin.6.46",-0.12267,0.013855,0.30516,-0.066815,-0.14641,-0.058215,0.19607,-0.18064
"Bin.6.42",-0.071684,-0.18021,0.29845,0.032186,-0.16541,-0.010682,0.046571,-0.089661
"Bin.6.38",-0.14947,0.0060063,0.29288,-0.04777,-0.12944,-0.055208,0.1899,-0.18342
"Bin.6.34",-0.069204,-0.17913,0.30343,0.04363,-0.16007,0.039336,0.0537,-0.08555
"Bin.6.30",-0.14711,0.002127,0.27639,-0.06519,-0.13267,-0.013146,0.19664,-0.18104
"Bin.4.38",-0.034715,0.0095606,-0.021275,-0.021646,0.004347,-0.057827,0.049592,-0.029206
"Bin.4.34",0.042388,0.039054,0.014295,-0.031672,-0.031462,-0.031602,0.074706,-0.0056911
"Bin.4.30",0.056014,0.026664,0.023896,-0.055004,-0.056975,0.03466,0.0025902,-0.0062837
"Bin.4.26",0.069017,0.0090539,0.025402,-0.018158,-0.011532,-0.011839,-0.0075157,0.0018705
"Bin.4.22",0.04755,0.029225,0.027927,0.0091171,0.012884,-0.029082,0.028132,-0.030121
"Bin.4.18",0.02921,0.0087878,0.016118,-0.0035622,0.018756,0.0049436,-0.030282,0.042517
"Bin.4.14",0.044348,0.020986,0.018487,-0.028838,-0.018786,0.049151,-0.018816,0.0055437
"Bin.4.10",0.037615,0.042962,0.016595,-0.065619,-0.068378,0.04636,-0.018653,-0.033762
"Bin.4.06",-0.037564,-0.0040076,0.0055179,-0.013356,-0.031776,0.10488,0.01148,-0.0019728
"Bin.4.02",0.0038583,0.025353,0.014294,-0.051414,-0.048786,0.029399,0.015656,-0.034171
"Bin.4.04",-0.033398,0.00079877,0.0076842,-0.020005,-0.034117,0.098454,0.012705,-0.0087133
"Bin.3.98",-0.072942,-0.01667,-0.0098639,0.0092767,-0.045008,-0.070452,0.11037,0.044802
